experiment_dir,test_mae,test_rmse,test_r2,host_latency_ms,host_max_freq_hz,model_size_mb,n_params
archive_season1/archive_4/exp_A4_quat_win300_Test-m2_S008_seed42,2.481945276260376,3.111212968826294,,2.0671,483.76,0.8503,222908
archive_season2/archive_3/exp_S2A3_repr_bodypca6_quat_Test-m2_S008_seed42,2.4869494438171387,3.1851389408111572,,5.3835,185.75,0.8525,223490
archive_season1/archive_4/exp_A4_quat_k7_Test-m2_S008_seed42,2.487372398376465,3.1544392108917236,,1.7757,563.15,1.1582,303612
archive_season2/archive_6/exp_S2A6R_ctrl_teacher_kinpower_seed07_Test-m2_S006_seed42,2.4985358715057373,3.1319966316223145,,2.3457,426.31,0.8548,224072
archive_season2/archive_7/exp_S2A7F_feat_worksplit_teacher_Test-m2_S001_seed42,2.5031025409698486,3.1311328411102295,,2.4879,401.94,0.8592,225236
archive_season2/archive_6/exp_S2A6F_tiny_loadgate_kinpower_w100_smooth_Test-m2_S006_seed42,2.504223108291626,3.119861125946045,,2.5165,397.37,0.09,23597
archive_season1/archive_5/exp_A5_gated_tcn_Test-m2_S008_seed42,2.5121936798095703,3.1139495372772217,,1.8951,527.69,0.852,223353
archive_season2/archive_6/exp_S2A6F_ctrl_teacher_kinpower_Test-m2_S006_seed42,2.515984535217285,3.134059190750122,,2.5047,399.25,0.8548,224072
archive_season2/archive_2/exp_S2A2_pre_bodyframe_mech_kin_lpf5_Test-m2_S008_seed42,2.530515193939209,3.164961814880371,,1.7307,577.79,0.8548,224072
archive_season2/archive_8/exp_S2A8F_feat_norm_load_coupling_teacher_Test-m2_S001_seed42,2.5324995517730713,3.0747408866882324,,2.3902,418.37,0.8592,225236
archive_season2/archive_8/exp_S2A8F_feat_lag_teacher_Test-m2_S006_seed42,2.533966064453125,3.2084596157073975,,1.872,534.2,0.8592,225236
archive_season1/archive_4/exp_A4_quat_kin_motor_Test-m2_S008_seed42,2.5371999740600586,3.178330183029175,,1.7544,570.0,0.8548,224072
archive_season2/archive_1/exp_S2A1_bodyframe_core_dropout005_Test-m2_S008_seed42,2.5417301654815674,3.1916263103485107,,1.7961,556.75,0.8503,222908
archive_season2/archive_7/exp_S2A7F_feat_load_coupling_teacher_Test-m2_S006_seed42,2.5450973510742188,3.1818478107452393,,2.1441,466.39,0.8548,224072
archive_season2/archive_1/exp_S2A1_bodyframe_core_standing_weight_Test-m2_S008_seed42,2.545485734939575,3.2413432598114014,,1.8102,552.41,0.8503,222908
archive_season2/archive_8/exp_S2A8F_feat_short_worksplit_teacher_Test-m2_S006_seed42,2.5606791973114014,3.1926372051239014,,2.4122,414.56,0.8607,225624
archive_season2/archive_8/exp_S2A8F_ctrl_teacher_kinpower_Test-m2_S002_seed42,2.5610339641571045,3.2337396144866943,,1.867,535.63,0.8548,224072
archive_season2/archive_6/exp_S2A6R_tiny_kinpower_w100_seed07_Test-m2_S006_seed42,2.5618653297424316,3.1654651165008545,,2.1858,457.49,0.0867,22720
archive_season1/archive_4/exp_A4_quat_kinetics_Test-m2_S008_seed42,2.562267541885376,3.2170157432556152,,1.8283,546.95,0.8533,223684
archive_season1/archive_3/exp_A3_full_combo_Test-m2_S008_seed42,2.5746147632598877,3.220651149749756,,1.7931,557.69,1.1582,303612
archive_season2/archive_3/exp_S2A3_repr_bodypca6_Test-m2_S008_seed42,2.5888683795928955,3.2153210639953613,,7.6141,131.34,0.8496,222714
archive_season2/archive_7/exp_S2A7F_feat_worksplit_teacher_Test-m2_S006_seed42,2.5943470001220703,3.2348947525024414,,2.3176,431.49,0.8592,225236
archive_season2/archive_6/exp_S2A6R_ctrl_teacher_kinpower_seed99_Test-m2_S005_seed42,2.6033308506011963,3.349867105484009,,2.5026,399.59,0.8548,224072
archive_season2/archive_1/exp_S2A1_bodyframe_deflection_asymmetry_Test-m2_S008_seed42,2.606964588165283,3.2893924713134766,,1.728,578.71,0.854,223878
archive_season2/archive_8/exp_S2A8F_feat_normload_worksplit_teacher_Test-m2_S001_seed42,2.608194589614868,3.160245895385742,,2.1117,473.55,0.8607,225624
archive_season2/archive_7/exp_S2A7F_feat_impedance_teacher_Test-m2_S006_seed42,2.6177635192871094,3.2323672771453857,,2.3146,432.04,0.8607,225624
archive_season2/archive_8/exp_S2A8F_feat_norm_worksplit_teacher_Test-m2_S005_seed42,2.6215157508850098,3.273482084274292,,2.4524,407.77,0.8592,225236
archive_season2/archive_6/exp_S2A6R_ctrl_teacher_kinpower_seed07_Test-m2_S005_seed42,2.626389265060425,3.3325271606445312,,2.4554,407.27,0.8548,224072
archive_season2/archive_7/exp_S2A7F_feat_impedance_teacher_Test-m2_S005_seed42,2.6346592903137207,3.387481212615967,,2.3241,430.28,0.8607,225624
archive_season2/archive_8/exp_S2A8F_feat_trunk_consistency_teacher_Test-m2_S005_seed42,2.641754388809204,3.3122339248657227,,2.2713,440.28,0.8585,225042
archive_season2/archive_8/exp_S2A8F_feat_normload_worksplit_teacher_Test-m2_S006_seed42,2.64574933052063,3.3259294033050537,,2.367,422.47,0.8607,225624
archive_season2/archive_6/exp_S2A6F_tiny_kinpower_w100_Test-m2_S004_seed42,2.660393476486206,3.2662718296051025,,2.2008,454.37,0.0867,22720
archive_season2/archive_7/exp_S2A7F_feat_worksplit_teacher_Test-m2_S005_seed42,2.663243293762207,3.407607316970825,,2.306,433.65,0.8592,225236
archive_season1/archive_4/exp_A4_quat_noise_001_Test-m2_S008_seed42,2.667229652404785,3.3384993076324463,,1.8221,548.82,0.8503,222908
archive_season2/archive_8/exp_S2A8F_ctrl_teacher_kinpower_Test-m2_S005_seed42,2.6848068237304688,3.4237663745880127,,2.4883,401.89,0.8548,224072
archive_season2/archive_6/exp_S2A6F_ctrl_teacher_kinpower_Test-m2_S005_seed42,2.6882057189941406,3.4330053329467773,,2.4401,409.82,0.8548,224072
archive_season2/archive_7/exp_S2A7F_feat_impedance_teacher_Test-m2_S002_seed42,2.693021774291992,3.5346765518188477,,2.3291,429.35,0.8607,225624
archive_season1/archive_3/exp_A3_kinetics_Test-m2_S008_seed42,2.6967251300811768,3.387481689453125,,1.7949,557.12,0.8503,222908
archive_season2/archive_6/exp_S2A6R_ctrl_teacher_kinpower_seed07_Test-m2_S004_seed42,2.7081005573272705,3.316444158554077,,2.4148,414.12,0.8548,224072
archive_season2/archive_6/exp_S2A6F_tiny_loadgate_kinpower_w100_smooth_Test-m2_S005_seed42,2.7095108032226562,3.499821186065674,,3.7343,267.79,0.09,23597
